apprenant_id,profil_candidat,age,formation,mode_formation,duree_formation_jours,score_test_initial,taux_presence,score_tp,score_theorique,date_inscription,mois_inscription,annee_inscription
1,Etudiant,20,TIA Portal,1 fois par semaine,5,47.07,83.01,78.78,81.57,2021-04-01,4,2021
2,Pris en charge par entreprise,25,SCADA,Weekend,5,71.95,89.41,88.45,65.3,2020-04-12,4,2020
3,Employé,24,EPLAN,1 fois par semaine,5,25.36,64.14,34.31,53.97,2023-01-31,1,2023
4,Employé,49,SolidWorks,Continue,5,69.37,82.13,84.96,88.14,2022-09-30,9,2022
5,Etudiant,20,TIA Portal,Continue,5,29.58,56.0,71.36,80.06,2022-07-03,7,2022
6,Etudiant,23,TIA Portal,Continue,5,40.03,74.5,70.79,89.73,2021-07-25,7,2021
7,Etudiant,21,TIA Portal,Continue,5,21.73,90.52,83.74,87.24,2021-02-23,2,2021
8,Pris en charge par entreprise,44,Maintenance industrielle,Weekend,5,27.42,93.82,58.84,59.53,2020-12-22,12,2020
9,Employé,38,SolidWorks,1 fois par semaine,5,46.74,92.84,51.87,64.49,2024-09-24,9,2024
10,Employé,28,EPLAN,Continue,5,69.1,86.01,75.19,88.61,2020-05-10,5,2020
11,Etudiant,22,TIA Portal,1 fois par semaine,5,66.42,88.69,88.34,80.24,2020-05-02,5,2020
12,Pris en charge par entreprise,33,SCADA,Weekend,5,34.12,91.51,92.89,82.37,2021-01-18,1,2021
13,Pris en charge par entreprise,24,Maintenance industrielle,1 fois par semaine,5,29.1,89.35,91.86,73.74,2022-06-14,6,2022
14,Etudiant,28,TIA Portal,1 fois par semaine,5,43.36,78.07,74.06,66.85,2022-08-10,8,2022
15,Etudiant,22,TIA Portal,Continue,5,73.0,66.36,90.41,69.25,2025-08-31,8,2025
16,Etudiant,28,TIA Portal,Continue,5,25.49,72.39,75.6,83.64,2020-04-18,4,2020
17,Etudiant,32,TIA Portal,Weekend,5,52.57,68.29,84.75,86.02,2022-03-25,3,2022
18,Employé,49,SolidWorks,1 fois par semaine,5,25.33,74.46,57.48,67.09,2024-09-14,9,2024
19,Etudiant,20,TIA Portal,Weekend,5,48.21,79.57,86.6,98.94,2022-06-21,6,2022
20,Etudiant,27,TIA Portal,Weekend,5,27.61,98.36,90.47,97.29,2025-01-13,1,2025
21,Employé,22,SolidWorks,Weekend,5,24.82,98.38,84.3,76.63,2023-02-13,2,2023
22,Etudiant,24,TIA Portal,Continue,5,31.45,,71.72,88.33,2020-01-27,1,2020
23,Etudiant,22,TIA Portal,Continue,5,35.32,99.21,86.82,49.78,2021-10-15,10,2021
24,Etudiant,22,TIA Portal,1 fois par semaine,5,36.58,99.92,,83.5,2024-09-27,9,2024
25,Etudiant,26,SolidWorks,1 fois par semaine,5,58.72,95.41,65.05,73.37,2023-10-25,10,2023
26,Employé,32,Maintenance industrielle,,5,23.3,63.18,58.89,86.23,2023-02-12,2,2023
27,Etudiant,20,TIA Portal,Continue,5,24.85,77.04,71.5,67.97,2021-09-28,9,2021
28,Employé,46,SolidWorks,Continue,5,31.32,81.36,69.63,79.62,2022-05-31,5,2022
29,Employé,23,SolidWorks,Weekend,5,72.32,64.96,69.7,62.45,2023-10-10,10,2023
